gene_symbol,Nucks1
gene_accession_id,MGI:1934811
mouse_strain,C57BL
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
analysis_id,1q7dhlk1q792j9r
mouse_life_stage,Early adult
pvalue,0.7095644
