analysis_id,qak5cgf9n84spcw
gene_symbol,Rnf114
parameter_name,Red blood cell count
mouse_strain,C57BL
gene_accession_id,MGI:1933159
pvalue,0.1465678
parameter_id,ESLIM_016_001_002
mouse_life_stage,Early adult
