analysis_id,p2x0m256g40gslj
gene_symbol,Eprs1
parameter_name,Body Weight
parameter_id,M-G-P_020_001_001
mouse_strain,C57BL
gene_accession_id,MGI:97838
pvalue,0.4516662
mouse_life_stage,Early adult
