analysis_id,08w1j1o9m54zsc1
parameter_name,% Pre-pulse inhibition - Global
mouse_life_stage,Early adult
pvalue,0.2921958
gene_symbol,Steap3
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_id,IMPC_ACS_037_001
