gene_symbol,Ssr2
gene_accession_id,MGI:1913506
parameter_name,Macrophages - % of CD45+
mouse_life_stage,Early adult
analysis_id,a7afr07tb9csya2
mouse_strain,C57BL
pvalue,0.4908586
parameter_id,MGP_IMM_121_001
