gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
parameter_name,IgD+ mature B cell number
pvalue,0.1383334
analysis_id,19tqngxz0554xak
mouse_strain,C57BL
parameter_id,MGP_PBI_035_001
