parameter_name,Neutrophils
gene_accession_id,MGI:1915678
analysis_id,28iogjit581100o
gene_symbol,Steap3
mouse_life_stage,Early adult
pvalue,0.5532785
mouse_strain,C57BL
parameter_id,IMPC_IMM_050_001
