parameter_name,Pale yolk sac
mouse_strain,C57BL
analysis_id,38s3ixuecl7bkk3
parameter_id,IMPC_GEL_017_002
gene_symbol,Golm2
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
pvalue,0.3513895
