parameter_name,Periphery permanence time
parameter_id,IMPC_OFD_012_001
mouse_strain,C57BL
gene_accession_id,MGI:2446274
analysis_id,35ix69fb171ow18
pvalue,0.3352611
mouse_life_stage,Early adult
gene_symbol,Frmpd1
