analysis_id,3yaika03b0554nw
gene_accession_id,MGI:1914061
parameter_name,Gait
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Duoxa2
pvalue,0.1037973
parameter_id,IMPC_CSD_033_001
