analysis_id,94njxepz1owle40
parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
mouse_strain,129SV
parameter_name,Tibia
gene_symbol,Cds2
pvalue,0.5080422
