gene_symbol,Atrn
pvalue,0.956054
parameter_name,Center average speed
gene_accession_id,MGI:1341628
analysis_id,48wi63iq5bdet38
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
