analysis_id,56v11h65439r96m
gene_symbol,Ppm1j
pvalue,0.4236622
gene_accession_id,MGI:1919137
parameter_name,Resting NK cells - % of NK cells
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_033_001
