Analysis_id,9i23np17xjny642
parameter_name,Resting Treg cells - % of CD45+
Parameter_id,MGP_MLN_071_001
Mouse_strain,C57BL
pvalue,0.7443772
Gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
gene_symbol,Sfpq
