parameter_name,Body Weight
mouse_life_stage,E9.5
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
analysis_id,408v17785z6wby0
pvalue,0.9736961
