gene_symbol,Lime1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
pvalue,0.3509895
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
analysis_id,7xz6pwrji6l5j44
