parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
gene_symbol,Tnni1
gene_accession_id,MGI:105073
analysis_id,a3z3d09718wky0c
pvalue,0.6198026
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
