analysis_id,y389die70170h3i
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
gene_symbol,Ubxn11
pvalue,0.9794496
parameter_name,Platelet count
