gene_symbol,Ahcy
parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
pvalue,0.07004622
analysis_id,0i3ud28160gj216
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:87968
