parameter_name,Skull shape
gene_symbol,Gja10
mouse_strain,C57BL
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:1339969
pvalue,0.7563945
mouse_life_stage,Early adult
analysis_id,lbnlc443hay2idb
