analysis_id,8ib3nzgw82m29e8
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
parameter_name,Pericardium Morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
pvalue,0.8719472
