gene_symbol,Kdm5b
pvalue,0.2601676
gene_accession_id,MGI:1922855
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,9k15625141b363l
parameter_name,PP1 startle magnitude
