parameter_name,Tremor
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
pvalue,0.400598
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
analysis_id,5m1qu46o3b2dp89
gene_symbol,Slc28a2
