analysis_id,17o8b909mqe6w06
gene_accession_id,MGI:1923959
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.5791071
gene_symbol,Arpc2
parameter_id,MGP_PBI_027_001
parameter_name,NK cell number
