parameter_name,Total cholesterol
mouse_strain,C57BL
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
analysis_id,3a6m2251eb24x59
pvalue,0.9174474
