parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
analysis_id,6p1273d4i430hs6
gene_symbol,Bach2
pvalue,0.6904576
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:894679
