parameter_name,Red blood cell count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_002_001
gene_symbol,Dnaaf9
mouse_strain,C57BL
pvalue,0.7683022
analysis_id,54p38y4398t4r2p
gene_accession_id,MGI:1923029
