analysis_id,95747v4rno93d92
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
gene_symbol,Trpa1
pvalue,0.9554447
parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
