parameter_name,Average duration
mouse_strain,C57BL
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
pvalue,0.6910102
gene_symbol,Lpgat1
analysis_id,7yy5xrov59klyqy
