analysis_id,60yi66h1j953rx5
mouse_life_stage,Early adult
gene_symbol,Gfi1b
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
pvalue,0.1837826
gene_accession_id,MGI:1276578
mouse_strain,C57BL
