analysis_id,4224l4spc1w6vbw
pvalue,0.5166364
mouse_life_stage,Early adult
parameter_name,Weight
gene_symbol,Cldn19
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:3033992
mouse_strain,C57BL
