analysis_id,1xs9064p8tq4zm8
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
pvalue,0.1371817
mouse_strain,C57BL
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
