analysis_id,bz7d3k7iye719d9
parameter_id,IMPC_OFD_016_001
gene_symbol,Atf3
pvalue,0.0501401
parameter_name,Center permanence time
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
mouse_strain,C57BL
