analysis_id,x1466ns341e9603
mouse_strain,C57BL
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
pvalue,0.6420957
parameter_name,Delayed embryonic development
parameter_id,IMPC_GEL_063_001
mouse_life_stage,E15.5
