analysis_id,8t5933650hp73im
mouse_strain,C57BL
pvalue,0.6122932
gene_accession_id,MGI:99915
parameter_name,Weight
parameter_id,M-G-P_005_001_001
mouse_life_stage,Early adult
gene_symbol,Lamb3
