gene_symbol,Morn5
pvalue,0.8008593
mouse_strain,C57BL
analysis_id,hm56f358xk9h1t4
parameter_id,IMPC_IMM_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
parameter_name,Others
