parameter_name,QT
gene_symbol,Rnf114
pvalue,0.6736449
gene_accession_id,MGI:1933159
analysis_id,b34zxz8h663hvn7
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
mouse_life_stage,Early adult
