parameter_id,IMPC_HWT_008_001
pvalue,0.4544046
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_name,Heart weight
analysis_id,4907297u1akez82
mouse_life_stage,Early adult
mouse_strain,C57BL
