analysis_id,t6q59dz011q901y
pvalue,0.5176684
parameter_name,% Pre-pulse inhibition - PPI4
gene_symbol,Zmynd19
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:1914437
mouse_strain,C57BL
mouse_life_stage,Early adult
