gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Left total retinal thickness
pvalue,0.7046581
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,IMPC_EYE_068_001
analysis_id,90ptko4jc462kn1
