gene_symbol,Sfpq
gene_accession_id,MGI:1918764
analysis_id,w6g21aau78pjyy0
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.111907
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
