parameter_name,Zygomatic bone
mouse_life_stage,Early adult
analysis_id,190msnedi5t8if0
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
pvalue,0.5172233
gene_symbol,Ola1
