gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_strain,C57BL
pvalue,0.5693515
analysis_id,v62dql40g1t7fw4
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
mouse_life_stage,Early adult
