analysis_id,v46767y1356k07o
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
gene_symbol,Wars2
mouse_life_stage,E9.5
pvalue,0.2120829
