parameter_name,Tibia length
pvalue,0.2961427
gene_symbol,Mgst2
parameter_id,TCPLA_XRY_033_001
analysis_id,q9a5785107f0m79
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2448481
