analysis_id,v74b4k3q6wx6vv6
parameter_name,Eye
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,IMPC_EYE_001_001
pvalue,0.5932457
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
