parameter_name,B cell number
pvalue,0.319193
mouse_strain,C57BL
gene_accession_id,MGI:2674093
gene_symbol,Psd4
parameter_id,MGP_PBI_034_001
analysis_id,gg8dhhvtf3ano3h
mouse_life_stage,Early adult
