analysis_id,qk9mz01fqxx8bmm
mouse_life_stage,Early adult
pvalue,0.3935043
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
