parameter_id,IMPC_ECG_010_001
pvalue,0.4059833
analysis_id,39q99xvbax93559
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kdm5b
parameter_name,HRV
