parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
pvalue,0.5694212
gene_accession_id,MGI:2444554
analysis_id,26836s2j9px3594
mouse_life_stage,E12.5
gene_symbol,Mapkap1
mouse_strain,C57BL
