parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
analysis_id,dah089m23qi3827
parameter_name,Lean mass
mouse_strain,C57BL
pvalue,0.278064
gene_accession_id,MGI:99915
gene_symbol,Lamb3
