gene_symbol,Rap2b
mouse_strain,C57BL
analysis_id,5eeq771dqj068ha
pvalue,0.05691854
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
