analysis_id,zoy0qr81j41ksxc
mouse_life_stage,Early adult
gene_symbol,Atrn
parameter_id,JAX_OFD_013_001
mouse_strain,C57BL
pvalue,0.8989033
gene_accession_id,MGI:1341628
parameter_name,Periphery average speed
