analysis_id,u72lpum1ry8n5o6
mouse_life_stage,E9.5
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:1913483
pvalue,0.3148935
parameter_name,Fusion of vertebrae
gene_symbol,Dmap1
mouse_strain,C57BL
