parameter_name,Mean cell volume
gene_accession_id,MGI:95835
pvalue,0.5215768
analysis_id,5bvov695423n86t
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,ESLIM_016_001_005
gene_symbol,Hspa5
