Analysis_id,64f3ynme60t8iy3
Parameter_name,Others
mouse_life_stage,E12.5
Gene_accession_id,MGI:1913483
Gene_symbol,DMAP1
Parameter_id,IMPC_IMM_006_001
Pvalue,0.8533633
mouse_strain,C57BL
