gene_symbol,Atrn
parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
pvalue,0.5640612
parameter_name,Dark side time spent
gene_accession_id,MGI:1341628
analysis_id,6q39ee83vm8mo96
mouse_strain,C57BL
