parameter_name,Creatinine
gene_accession_id,MGI:1336200
analysis_id,x57m21r96t0h0u8
mouse_strain,C57BL
parameter_id,IMPC_CBC_005_001
pvalue,0.2052635
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
