parameter_name,% Freezing duration habituation-1
mouse_strain,C57BL
gene_symbol,Toporsl
analysis_id,7809ld71gbe558g
gene_accession_id,MGI:1915524
parameter_id,ICS_FEA_016_001
pvalue,0.3390157
mouse_life_stage,Early adult
