parameter_name,Eyelid morphology
pvalue,0.7497155
gene_symbol,AU040320
mouse_life_stage,Early adult
gene_accession_id,MGI:2140475
analysis_id,92x19z74366xd2w
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
