parameter_name,Sodium
mouse_strain,C57BL
analysis_id,54fzcty8r99k8o4
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
gene_symbol,Bmi1
parameter_id,IMPC_CBC_001_001
pvalue,0.1093156
