parameter_id,ESLIM_007_001_009
analysis_id,l2whkk7ub94al41
pvalue,0.784941
gene_symbol,Sprr1b
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
mouse_strain,C57BL
parameter_name,Periphery average speed
