analysis_id,pub3y51byz10p57
mouse_strain,C57BL
gene_symbol,Rhbg
pvalue,0.9269079
gene_accession_id,MGI:1927379
parameter_id,IMPC_ABR_004_001
parameter_name,6kHz-evoked ABR Threshold
mouse_life_stage,Early adult
