parameter_name,Liver weight
pvalue,0.8192636
analysis_id,u4mi9523a825h54
gene_accession_id,MGI:1913576
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
